,Time Steps,Average Total Reward
0,4000,62.6
1,8000,66.0
2,12000,55.6
3,16000,70.8
4,20000,68.6
5,24000,72.8
6,28000,79.6
7,32000,100.6
8,36000,108.2
9,40000,127.8
10,44000,141.0
11,48000,213.2
12,52000,358.2
13,56000,339.0
14,60000,357.0
15,64000,402.6
16,68000,468.2
17,72000,418.0
18,76000,462.2
19,80000,461.8
20,84000,489.6
21,88000,456.4
22,92000,497.2
23,96000,428.6
24,100000,391.4
25,104000,357.8
26,108000,447.2
27,112000,475.0
28,116000,345.4
29,120000,428.2
30,124000,495.4
31,128000,500.0
32,132000,484.4
33,136000,456.6
34,140000,478.2
35,144000,424.4
36,148000,385.4
37,152000,472.2
38,156000,462.2
39,160000,478.8
40,164000,500.0
41,168000,500.0
42,172000,500.0
43,176000,490.0
44,180000,500.0
45,184000,490.8
46,188000,500.0
47,192000,500.0
48,196000,500.0
49,200000,500.0
